train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 86.5M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 86.5M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 85.8M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 85.8M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 85.8M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 86.4M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 86.5M
epoch 1, train 3.8299|0.0818, val 4.9276|0.0795, 2.8m 2.8m/4.6h
epoch 2, train 3.4053|0.1359, val 4.5777|0.1189, 2.5m 5.3m/4.4h
epoch 3, train 3.2131|0.1659, val 4.5066|0.1395, 2.5m 7.9m/4.4h
epoch 4, train 3.1079|0.1868, val 4.5082|0.1552, 2.5m 10.5m/4.4h
epoch 5, train 3.0069|0.2115, val 4.3723|0.1867, fs 1: 0.3575 5: 0.4592, 5.0m 15.5m/5.2h
epoch 6, train 2.9206|0.2342, val 4.3286|0.1959, 2.5m 18.1m/5.0h
epoch 7, train 2.8402|0.2501, val 4.3327|0.2094, 2.5m 20.7m/4.9h
epoch 8, train 2.7870|0.2631, val 4.3149|0.2069, 2.5m 23.2m/4.8h
epoch 9, train 2.7506|0.2684, val 4.2696|0.2242, 2.5m 25.8m/4.8h
epoch 10, train 2.6901|0.2820, val 4.2959|0.2339, fs 1: 0.3685 5: 0.4773, 5.0m 30.8m/5.1h
epoch 11, train 2.6550|0.2891, val 4.2143|0.2321, 2.5m 33.3m/5.1h
epoch 12, train 2.6193|0.2983, val 4.2506|0.2536, 2.5m 35.9m/5.0h
epoch 13, train 2.6062|0.3018, val 4.2678|0.2530, 2.5m 38.5m/4.9h
epoch 14, train 2.5815|0.3077, val 4.2465|0.2515, 2.5m 41.0m/4.9h
epoch 15, train 2.5689|0.3099, val 4.1896|0.2598, fs 1: 0.3623 5: 0.4760, 5.0m 46.0m/5.1h
epoch 16, train 2.5523|0.3162, val 4.2361|0.2565, 2.5m 48.6m/5.1h
epoch 17, train 2.5247|0.3187, val 4.2167|0.2562, 2.5m 51.1m/5.0h
epoch 18, train 2.5200|0.3213, val 4.1015|0.2612, 2.5m 53.7m/5.0h
epoch 19, train 2.4949|0.3278, val 4.2044|0.2699, 2.5m 56.2m/4.9h
epoch 20, train 2.4940|0.3298, val 4.1479|0.2603, fs 1: 0.3647 5: 0.4750, 5.0m 1.0h/5.1h
epoch 21, train 2.4806|0.3285, val 4.1134|0.2561, 2.5m 1.1h/5.1h
epoch 22, train 2.4677|0.3318, val 4.1037|0.2736, 2.5m 1.1h/5.0h
epoch 23, train 2.4747|0.3343, val 3.9656|0.2775, 2.5m 1.1h/5.0h
epoch 24, train 2.4611|0.3351, val 4.0520|0.2801, 2.5m 1.2h/5.0h
epoch 25, train 2.4554|0.3359, val 4.0264|0.2902, fs 1: 0.3701 5: 0.4843, 5.0m 1.3h/5.1h
epoch 26, train 2.4367|0.3406, val 3.9994|0.2873, 2.5m 1.3h/5.1h
epoch 27, train 2.4390|0.3418, val 4.0549|0.2788, 2.5m 1.4h/5.0h
epoch 28, train 2.4211|0.3475, val 4.1103|0.2803, 2.5m 1.4h/5.0h
epoch 29, train 2.4279|0.3440, val 4.0516|0.2802, 2.5m 1.4h/5.0h
epoch 30, train 2.4174|0.3449, val 4.0484|0.2833, fs 1: 0.3696 5: 0.4789, 4.9m 1.5h/5.1h
epoch 31, train 2.4211|0.3448, val 4.0983|0.2781, 2.5m 1.6h/5.1h
epoch 32, train 2.4086|0.3475, val 4.0395|0.2944, 2.5m 1.6h/5.0h
epoch 33, train 2.4032|0.3513, val 4.1653|0.2762, 2.5m 1.7h/5.0h
epoch 34, train 2.4033|0.3499, val 4.0472|0.2836, 2.5m 1.7h/5.0h
epoch 35, train 2.3830|0.3540, val 4.1618|0.2871, fs 1: 0.3618 5: 0.4764, 4.9m 1.8h/5.1h
epoch 36, train 2.3786|0.3547, val 3.9841|0.3052, 2.5m 1.8h/5.1h
epoch 37, train 2.3766|0.3566, val 4.1128|0.2848, 2.5m 1.9h/5.0h
epoch 38, train 2.3788|0.3524, val 3.9437|0.2924, 2.5m 1.9h/5.0h
epoch 39, train 2.3901|0.3528, val 4.0561|0.3007, 2.5m 1.9h/5.0h
epoch 40, train 2.3722|0.3560, val 4.0936|0.2948, fs 1: 0.3631 5: 0.4763, 4.9m 2.0h/5.1h
epoch 41, train 2.3550|0.3563, val 4.0048|0.3054, 2.5m 2.1h/5.1h
epoch 42, train 2.3630|0.3580, val 3.9652|0.2991, 2.5m 2.1h/5.0h
epoch 43, train 2.3643|0.3580, val 4.0191|0.2947, 2.5m 2.2h/5.0h
epoch 44, train 2.3463|0.3638, val 4.0170|0.2857, 2.5m 2.2h/5.0h
epoch 45, train 2.3569|0.3580, val 4.0610|0.2974, fs 1: 0.3685 5: 0.4844, 4.9m 2.3h/5.1h
epoch 46, train 2.3418|0.3644, val 4.0357|0.3045, 2.5m 2.3h/5.1h
epoch 47, train 2.3335|0.3686, val 3.9803|0.2989, 2.5m 2.4h/5.0h
epoch 48, train 2.3379|0.3621, val 4.0188|0.2960, 2.5m 2.4h/5.0h
epoch 49, train 2.3108|0.3684, val 4.0993|0.2948, 2.5m 2.5h/5.0h
epoch 50, train 2.3207|0.3683, val 4.0358|0.2921, fs 1: 0.3768 5: 0.4881, 4.9m 2.5h/5.1h
epoch 51, train 2.3319|0.3675, val 3.9355|0.2979, 2.5m 2.6h/5.0h
epoch 52, train 2.3073|0.3724, val 4.0410|0.3052, 2.5m 2.6h/5.0h
epoch 53, train 2.2952|0.3742, val 4.0166|0.3006, 2.5m 2.7h/5.0h
epoch 54, train 2.2871|0.3786, val 3.9618|0.3108, 2.5m 2.7h/5.0h
epoch 55, train 2.2997|0.3731, val 3.9857|0.3071, fs 1: 0.3725 5: 0.4863, 4.9m 2.8h/5.1h
epoch 56, train 2.3011|0.3756, val 4.0027|0.3041, 2.5m 2.8h/5.0h
epoch 57, train 2.2899|0.3738, val 3.9059|0.3156, 2.5m 2.9h/5.0h
epoch 58, train 2.2853|0.3753, val 3.8688|0.3130, 2.5m 2.9h/5.0h
epoch 59, train 2.2752|0.3776, val 3.9646|0.3138, 2.5m 3.0h/5.0h
epoch 60, train 2.2696|0.3801, val 3.9938|0.3115, fs 1: 0.3703 5: 0.4892, 4.9m 3.0h/5.1h
epoch 61, train 2.0693|0.4291, val 3.7943|0.3577, 2.5m 3.1h/5.0h
epoch 62, train 2.0200|0.4409, val 3.7853|0.3618, 2.5m 3.1h/5.0h
epoch 63, train 1.9956|0.4459, val 3.8167|0.3612, 2.5m 3.2h/5.0h
epoch 64, train 1.9896|0.4487, val 3.8085|0.3648, 2.5m 3.2h/5.0h
epoch 65, train 1.9684|0.4512, val 3.7882|0.3670, fs 1: 0.3738 5: 0.4903, 4.9m 3.3h/5.1h
