train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 23.7M
epoch 1, train 4.8942|0.0259, val 4.9909|0.0275, 1.5m 1.5m/5.1h
epoch 2, train 3.8458|0.0501, val 4.8428|0.0467, 1.4m 3.0m/4.9h
epoch 3, train 3.6516|0.0771, val 4.8062|0.0733, 1.4m 4.4m/4.9h
epoch 4, train 3.4771|0.1086, val 4.8016|0.0906, 1.4m 5.9m/4.9h
epoch 5, train 3.3495|0.1353, val 4.6454|0.1237, fs 1: 0.3357 5: 0.4208, 2.9m 8.8m/5.9h
epoch 6, train 3.2305|0.1606, val 4.5501|0.1385, 1.4m 10.3m/5.7h
epoch 7, train 3.1104|0.1891, val 4.4969|0.1687, 1.4m 11.7m/5.6h
epoch 8, train 3.0036|0.2096, val 4.4719|0.1818, 1.4m 13.1m/5.5h
epoch 9, train 2.8968|0.2350, val 4.7362|0.1872, 1.4m 14.6m/5.4h
epoch 10, train 2.8026|0.2542, val 4.4941|0.2164, fs 1: 0.3419 5: 0.4428, 2.9m 17.5m/5.8h
epoch 11, train 2.7109|0.2757, val 4.3856|0.2388, 1.4m 19.0m/5.8h
epoch 12, train 2.6180|0.2963, val 4.3853|0.2576, 1.4m 20.4m/5.7h
epoch 13, train 2.5310|0.3170, val 4.2240|0.2733, 1.4m 21.9m/5.6h
epoch 14, train 2.4466|0.3359, val 4.1469|0.3076, 1.4m 23.3m/5.6h
epoch 15, train 2.3484|0.3622, val 4.2110|0.3064, fs 1: 0.3493 5: 0.4654, 2.9m 26.3m/5.8h
epoch 16, train 2.2859|0.3767, val 4.0456|0.3324, 1.4m 27.7m/5.8h
epoch 17, train 2.2053|0.3944, val 4.0187|0.3336, 1.4m 29.2m/5.7h
epoch 18, train 2.1402|0.4104, val 4.0068|0.3471, 1.4m 30.6m/5.7h
epoch 19, train 2.0649|0.4284, val 3.9828|0.3698, 1.4m 32.0m/5.6h
epoch 20, train 2.0071|0.4384, val 3.9479|0.3869, fs 1: 0.3671 5: 0.4972, 2.9m 35.0m/5.8h
epoch 21, train 1.9579|0.4533, val 3.9571|0.3794, 1.4m 36.4m/5.8h
epoch 22, train 1.9224|0.4622, val 3.8124|0.3817, 1.4m 37.9m/5.7h
epoch 23, train 1.8694|0.4789, val 4.0008|0.3954, 1.4m 39.3m/5.7h
epoch 24, train 1.8366|0.4836, val 3.7564|0.4008, 1.4m 40.7m/5.7h
epoch 25, train 1.8094|0.4912, val 3.8811|0.4161, fs 1: 0.3769 5: 0.5049, 2.9m 43.7m/5.8h
epoch 26, train 1.7706|0.5015, val 4.1355|0.4181, 1.4m 45.1m/5.8h
epoch 27, train 1.7297|0.5110, val 4.2335|0.3717, 1.4m 46.6m/5.7h
epoch 28, train 1.7133|0.5160, val 3.8584|0.4316, 1.4m 48.0m/5.7h
epoch 29, train 1.7055|0.5204, val 3.7897|0.4391, 1.4m 49.4m/5.7h
epoch 30, train 1.6760|0.5265, val 3.7460|0.4389, fs 1: 0.3739 5: 0.5075, 2.9m 52.4m/5.8h
epoch 31, train 1.6541|0.5333, val 3.6862|0.4531, 1.4m 53.8m/5.8h
epoch 32, train 1.6301|0.5401, val 3.8108|0.4513, 1.4m 55.3m/5.8h
epoch 33, train 1.6225|0.5375, val 3.8041|0.4537, 1.4m 56.7m/5.7h
epoch 34, train 1.5937|0.5497, val 3.7284|0.4568, 1.4m 58.1m/5.7h
epoch 35, train 1.5730|0.5541, val 3.8383|0.4483, fs 1: 0.3748 5: 0.5169, 2.9m 1.0h/5.8h
epoch 36, train 1.5659|0.5555, val 3.7898|0.4551, 1.4m 1.0h/5.8h
epoch 37, train 1.5545|0.5596, val 3.6431|0.4674, 1.4m 1.1h/5.8h
epoch 38, train 1.5443|0.5581, val 3.7362|0.4624, 1.4m 1.1h/5.7h
epoch 39, train 1.5221|0.5634, val 3.5693|0.4868, 1.4m 1.1h/5.7h
epoch 40, train 1.4959|0.5755, val 3.9657|0.4412, fs 1: 0.3703 5: 0.4890, 2.9m 1.2h/5.8h
epoch 41, train 1.4658|0.5844, val 3.6718|0.4814, 1.4m 1.2h/5.8h
epoch 42, train 1.4641|0.5825, val 3.7896|0.4967, 1.4m 1.2h/5.8h
epoch 43, train 1.4467|0.5885, val 3.6769|0.4918, 1.4m 1.2h/5.7h
epoch 44, train 1.4313|0.5889, val 3.5935|0.4884, 1.4m 1.3h/5.7h
epoch 45, train 1.4220|0.5893, val 3.9185|0.4636, fs 1: 0.3661 5: 0.5087, 2.9m 1.3h/5.8h
epoch 46, train 1.4086|0.5992, val 3.7065|0.5022, 1.4m 1.3h/5.8h
epoch 47, train 1.4011|0.5970, val 4.0045|0.4677, 1.4m 1.4h/5.8h
epoch 48, train 1.3793|0.6062, val 3.7348|0.5076, 1.4m 1.4h/5.7h
epoch 49, train 1.3855|0.6042, val 3.6764|0.4982, 1.4m 1.4h/5.7h
epoch 50, train 1.3745|0.6049, val 3.5311|0.5222, fs 1: 0.3873 5: 0.5282, 2.9m 1.5h/5.8h
epoch 51, train 1.3558|0.6111, val 3.6710|0.5190, 1.4m 1.5h/5.8h
epoch 52, train 1.3416|0.6147, val 3.8141|0.4779, 1.4m 1.5h/5.8h
epoch 53, train 1.3553|0.6110, val 4.2469|0.4531, 1.4m 1.5h/5.7h
epoch 54, train 1.3455|0.6120, val 3.6421|0.5006, 1.4m 1.5h/5.7h
epoch 55, train 1.3362|0.6148, val 4.6241|0.4267, fs 1: 0.3577 5: 0.4358, 2.9m 1.6h/5.8h
epoch 56, train 1.3235|0.6201, val 3.5364|0.5176, 1.4m 1.6h/5.8h
epoch 57, train 1.3197|0.6220, val 3.6393|0.5220, 1.4m 1.6h/5.8h
epoch 58, train 1.3044|0.6252, val 3.6525|0.5231, 1.4m 1.7h/5.7h
epoch 59, train 1.3058|0.6249, val 3.6748|0.5037, 1.4m 1.7h/5.7h
epoch 60, train 1.2939|0.6278, val 3.9354|0.4751, fs 1: 0.3728 5: 0.4968, 2.9m 1.7h/5.8h
epoch 61, train 1.2827|0.6348, val 3.5201|0.5389, 1.4m 1.8h/5.8h
epoch 62, train 1.2768|0.6346, val 3.7439|0.5127, 1.4m 1.8h/5.8h
epoch 63, train 1.2746|0.6327, val 3.8074|0.5049, 1.4m 1.8h/5.7h
epoch 64, train 1.2694|0.6361, val 3.7468|0.5072, 1.4m 1.8h/5.7h
epoch 65, train 1.2757|0.6327, val 3.8563|0.5203, fs 1: 0.3764 5: 0.5195, 2.9m 1.9h/5.8h
epoch 66, train 1.2697|0.6346, val 3.4713|0.5290, 1.4m 1.9h/5.8h
epoch 67, train 1.2470|0.6410, val 3.7217|0.5300, 1.4m 1.9h/5.8h
epoch 68, train 1.2619|0.6362, val 3.6852|0.5193, 1.4m 2.0h/5.8h
epoch 69, train 1.2452|0.6420, val 3.4761|0.5266, 1.4m 2.0h/5.7h
epoch 70, train 1.2363|0.6424, val 3.5334|0.5442, fs 1: 0.3893 5: 0.5366, 2.9m 2.0h/5.8h
epoch 71, train 1.2249|0.6498, val 3.4097|0.5338, 1.4m 2.1h/5.8h
epoch 72, train 1.2287|0.6433, val 3.6317|0.5433, 1.4m 2.1h/5.8h
epoch 73, train 1.2275|0.6476, val 3.6530|0.5230, 1.4m 2.1h/5.8h
epoch 74, train 1.2256|0.6469, val 3.6716|0.5299, 1.4m 2.1h/5.7h
epoch 75, train 1.2063|0.6510, val 3.7306|0.5578, fs 1: 0.3909 5: 0.5400, 2.9m 2.2h/5.8h
epoch 76, train 1.2228|0.6449, val 3.5594|0.5298, 1.4m 2.2h/5.8h
epoch 77, train 1.2123|0.6486, val 3.7852|0.5312, 1.4m 2.2h/5.8h
epoch 78, train 1.2053|0.6518, val 3.5618|0.5425, 1.4m 2.2h/5.8h
epoch 79, train 1.2203|0.6483, val 3.5299|0.5390, 1.4m 2.3h/5.7h
epoch 80, train 1.1991|0.6560, val 3.4936|0.5301, fs 1: 0.3781 5: 0.5222, 2.9m 2.3h/5.8h
epoch 81, train 1.1920|0.6573, val 3.4794|0.5401, 1.4m 2.3h/5.8h
epoch 82, train 1.1885|0.6585, val 3.5901|0.5484, 1.4m 2.4h/5.8h
epoch 83, train 1.1936|0.6580, val 3.4670|0.5545, 1.4m 2.4h/5.8h
epoch 84, train 1.1926|0.6559, val 3.4035|0.5474, 1.4m 2.4h/5.7h
epoch 85, train 1.1942|0.6535, val 3.6915|0.5429, fs 1: 0.3814 5: 0.5283, 2.9m 2.5h/5.8h
epoch 86, train 1.1751|0.6602, val 3.8037|0.5201, 1.4m 2.5h/5.8h
epoch 87, train 1.1839|0.6567, val 3.6660|0.5407, 1.4m 2.5h/5.8h
epoch 88, train 1.1780|0.6621, val 3.6579|0.5188, 1.4m 2.5h/5.8h
epoch 89, train 1.1742|0.6618, val 3.7157|0.5357, 1.4m 2.6h/5.7h
epoch 90, train 1.1805|0.6594, val 3.4779|0.5336, fs 1: 0.3879 5: 0.5354, 2.9m 2.6h/5.8h
epoch 91, train 1.1721|0.6626, val 3.6210|0.5489, 1.4m 2.6h/5.8h
epoch 92, train 1.1655|0.6652, val 3.4687|0.5757, 1.4m 2.7h/5.8h
epoch 93, train 1.1728|0.6616, val 3.7550|0.5571, 1.4m 2.7h/5.8h
epoch 94, train 1.1607|0.6648, val 3.3039|0.5637, 1.4m 2.7h/5.7h
epoch 95, train 1.1661|0.6634, val 3.4303|0.5560, fs 1: 0.3722 5: 0.5086, 2.9m 2.7h/5.8h
epoch 96, train 1.1539|0.6684, val 3.6352|0.5347, 1.4m 2.8h/5.8h
epoch 97, train 1.1569|0.6680, val 3.5231|0.5678, 1.4m 2.8h/5.8h
epoch 98, train 1.1510|0.6672, val 3.3656|0.5741, 1.4m 2.8h/5.8h
epoch 99, train 1.1501|0.6685, val 3.7060|0.5117, 1.4m 2.8h/5.7h
epoch 100, train 1.1404|0.6700, val 3.4270|0.5460, fs 1: 0.3773 5: 0.5259, 2.9m 2.9h/5.8h
epoch 101, train 1.1582|0.6659, val 3.3047|0.5812, 1.4m 2.9h/5.8h
epoch 102, train 1.1347|0.6722, val 3.4846|0.5668, 1.4m 2.9h/5.8h
epoch 103, train 1.1532|0.6647, val 3.6796|0.5587, 1.4m 3.0h/5.8h
epoch 104, train 1.1373|0.6719, val 3.5509|0.5361, 1.4m 3.0h/5.7h
epoch 105, train 1.1321|0.6730, val 3.3531|0.5649, fs 1: 0.3858 5: 0.5312, 2.9m 3.0h/5.8h
epoch 106, train 1.1454|0.6713, val 3.3855|0.5418, 1.4m 3.1h/5.8h
epoch 107, train 1.1491|0.6677, val 3.4423|0.5768, 1.4m 3.1h/5.8h
epoch 108, train 1.1372|0.6701, val 3.4705|0.5647, 1.4m 3.1h/5.8h
epoch 109, train 1.1321|0.6704, val 3.5412|0.5608, 1.4m 3.1h/5.7h
epoch 110, train 1.1251|0.6760, val 3.7606|0.5422, fs 1: 0.3782 5: 0.5238, 2.9m 3.2h/5.8h
epoch 111, train 1.1371|0.6718, val 3.9307|0.5458, 1.4m 3.2h/5.8h
epoch 112, train 1.1328|0.6731, val 3.7905|0.5513, 1.4m 3.2h/5.8h
epoch 113, train 1.1280|0.6763, val 3.4755|0.5635, 1.4m 3.3h/5.8h
epoch 114, train 1.1313|0.6751, val 3.5493|0.5584, 1.4m 3.3h/5.7h
epoch 115, train 1.1368|0.6717, val 3.3446|0.5521, fs 1: 0.3931 5: 0.5309, 2.9m 3.3h/5.8h
epoch 116, train 1.1258|0.6754, val 3.6700|0.5646, 1.4m 3.3h/5.8h
epoch 117, train 1.1363|0.6705, val 3.3994|0.5694, 1.4m 3.4h/5.8h
epoch 118, train 1.1131|0.6776, val 3.5077|0.5630, 1.4m 3.4h/5.8h
epoch 119, train 1.1362|0.6702, val 3.5404|0.5783, 1.4m 3.4h/5.7h
epoch 120, train 1.1211|0.6754, val 3.5925|0.5371, fs 1: 0.3752 5: 0.5135, 2.9m 3.5h/5.8h
epoch 121, train 1.1139|0.6792, val 3.4649|0.5794, 1.4m 3.5h/5.8h
epoch 122, train 1.1098|0.6782, val 3.4228|0.5616, 1.4m 3.5h/5.8h
epoch 123, train 1.0950|0.6815, val 3.7041|0.5613, 1.4m 3.5h/5.8h
epoch 124, train 1.1154|0.6777, val 3.6443|0.5639, 1.4m 3.6h/5.7h
epoch 125, train 1.1147|0.6745, val 3.7977|0.5329, fs 1: 0.3659 5: 0.5069, 2.9m 3.6h/5.8h
epoch 126, train 1.0935|0.6837, val 3.4893|0.5416, 1.4m 3.6h/5.8h
epoch 127, train 1.0985|0.6824, val 3.5930|0.5554, 1.4m 3.7h/5.8h
epoch 128, train 1.1059|0.6818, val 3.6116|0.5561, 1.4m 3.7h/5.8h
epoch 129, train 1.1011|0.6808, val 3.5900|0.5784, 1.4m 3.7h/5.7h
epoch 130, train 1.1046|0.6795, val 3.2476|0.5799, fs 1: 0.3932 5: 0.5388, 2.9m 3.8h/5.8h
epoch 131, train 1.0958|0.6821, val 3.4083|0.5709, 1.4m 3.8h/5.8h
epoch 132, train 1.0961|0.6843, val 3.5308|0.5821, 1.4m 3.8h/5.8h
epoch 133, train 1.0939|0.6862, val 3.3975|0.5873, 1.4m 3.8h/5.8h
epoch 134, train 1.0938|0.6843, val 3.3267|0.5689, 1.4m 3.8h/5.7h
epoch 135, train 1.1061|0.6797, val 3.4998|0.5716, fs 1: 0.3825 5: 0.5294, 2.9m 3.9h/5.8h
epoch 136, train 1.0975|0.6822, val 3.4321|0.5672, 1.4m 3.9h/5.8h
epoch 137, train 1.0897|0.6864, val 3.4412|0.5668, 1.4m 3.9h/5.8h
epoch 138, train 1.0850|0.6877, val 3.1972|0.6011, 1.4m 4.0h/5.8h
epoch 139, train 1.0832|0.6882, val 3.4849|0.5712, 1.4m 4.0h/5.7h
epoch 140, train 1.0910|0.6858, val 3.4962|0.5814, fs 1: 0.3938 5: 0.5384, 2.9m 4.0h/5.8h
epoch 141, train 1.0805|0.6892, val 3.5642|0.5477, 1.4m 4.1h/5.8h
epoch 142, train 1.0799|0.6889, val 3.4511|0.5403, 1.4m 4.1h/5.8h
epoch 143, train 1.0821|0.6885, val 3.4869|0.5632, 1.4m 4.1h/5.8h
epoch 144, train 1.0955|0.6851, val 3.4700|0.5700, 1.4m 4.1h/5.7h
epoch 145, train 1.1086|0.6807, val 3.3851|0.5677, fs 1: 0.3909 5: 0.5385, 2.9m 4.2h/5.8h
epoch 146, train 1.0779|0.6885, val 3.4732|0.5459, 1.4m 4.2h/5.8h
epoch 147, train 1.0784|0.6896, val 3.4884|0.5762, 1.4m 4.2h/5.8h
epoch 148, train 1.0888|0.6874, val 3.7107|0.5775, 1.4m 4.3h/5.8h
epoch 149, train 1.0851|0.6878, val 3.5917|0.5794, 1.4m 4.3h/5.7h
epoch 150, train 1.0902|0.6851, val 3.4941|0.5844, fs 1: 0.3880 5: 0.5278, 2.9m 4.3h/5.8h
epoch 151, train 1.0887|0.6833, val 3.1593|0.5864, 1.4m 4.4h/5.8h
epoch 152, train 1.0834|0.6858, val 3.3372|0.5743, 1.4m 4.4h/5.8h
epoch 153, train 1.0717|0.6884, val 3.4481|0.5743, 1.4m 4.4h/5.8h
epoch 154, train 1.0886|0.6848, val 3.3820|0.5576, 1.4m 4.4h/5.7h
epoch 155, train 1.0775|0.6886, val 3.4052|0.5790, fs 1: 0.3903 5: 0.5345, 2.9m 4.5h/5.8h
epoch 156, train 1.0811|0.6877, val 3.6096|0.5798, 1.4m 4.5h/5.8h
epoch 157, train 1.0710|0.6907, val 3.6036|0.5676, 1.4m 4.5h/5.8h
epoch 158, train 1.0591|0.6950, val 3.5818|0.5521, 1.4m 4.5h/5.8h
epoch 159, train 1.0723|0.6883, val 3.6090|0.5616, 1.4m 4.6h/5.7h
epoch 160, train 1.0948|0.6834, val 3.3674|0.5623, fs 1: 0.3806 5: 0.5140, 2.9m 4.6h/5.8h
epoch 161, train 0.8422|0.7596, val 3.0963|0.6763, 1.4m 4.6h/5.8h
epoch 162, train 0.7178|0.7939, val 3.0258|0.6880, 1.4m 4.7h/5.8h
epoch 163, train 0.6702|0.8106, val 3.0985|0.6937, 1.4m 4.7h/5.8h
epoch 164, train 0.6621|0.8123, val 3.0761|0.6986, 1.4m 4.7h/5.7h
epoch 165, train 0.6325|0.8206, val 3.0826|0.7012, fs 1: 0.4129 5: 0.5694, 2.9m 4.8h/5.8h
epoch 166, train 0.6078|0.8264, val 3.0572|0.7029, 1.4m 4.8h/5.8h
epoch 167, train 0.5950|0.8321, val 3.0487|0.7068, 1.4m 4.8h/5.8h
epoch 168, train 0.5829|0.8366, val 3.0502|0.7086, 1.4m 4.8h/5.8h
epoch 169, train 0.5812|0.8367, val 3.0732|0.7112, 1.4m 4.9h/5.7h
epoch 170, train 0.5571|0.8443, val 3.0943|0.7119, fs 1: 0.4101 5: 0.5677, 2.9m 4.9h/5.8h
epoch 171, train 0.5537|0.8449, val 3.0857|0.7144, 1.4m 4.9h/5.8h
epoch 172, train 0.5520|0.8446, val 3.0797|0.7148, 1.4m 5.0h/5.8h
epoch 173, train 0.5389|0.8493, val 3.1050|0.7163, 1.4m 5.0h/5.8h
epoch 174, train 0.5321|0.8494, val 3.1072|0.7186, 1.4m 5.0h/5.8h
epoch 175, train 0.5273|0.8519, val 3.0929|0.7208, fs 1: 0.4104 5: 0.5670, 2.9m 5.1h/5.8h
epoch 176, train 0.5209|0.8547, val 3.0923|0.7183, 1.4m 5.1h/5.8h
epoch 177, train 0.5131|0.8566, val 3.0118|0.7214, 1.4m 5.1h/5.8h
epoch 178, train 0.5113|0.8581, val 3.0605|0.7227, 1.4m 5.1h/5.8h
epoch 179, train 0.5079|0.8590, val 3.0169|0.7218, 1.4m 5.1h/5.8h
epoch 180, train 0.5058|0.8605, val 3.0560|0.7238, fs 1: 0.4088 5: 0.5652, 2.9m 5.2h/5.8h
epoch 181, train 0.4725|0.8684, val 3.0126|0.7291, 1.4m 5.2h/5.8h
epoch 182, train 0.4714|0.8694, val 3.0426|0.7301, 1.4m 5.2h/5.8h
epoch 183, train 0.4518|0.8765, val 3.0122|0.7308, 1.4m 5.3h/5.8h
epoch 184, train 0.4494|0.8754, val 3.0307|0.7304, 1.4m 5.3h/5.8h
epoch 185, train 0.4477|0.8753, val 3.0261|0.7311, fs 1: 0.4092 5: 0.5662, 2.9m 5.3h/5.8h
epoch 186, train 0.4459|0.8776, val 3.0182|0.7316, 1.4m 5.4h/5.8h
epoch 187, train 0.4438|0.8799, val 3.0293|0.7316, 1.4m 5.4h/5.8h
epoch 188, train 0.4384|0.8810, val 3.0273|0.7316, 1.4m 5.4h/5.8h
epoch 189, train 0.4361|0.8798, val 3.0143|0.7319, 1.4m 5.4h/5.8h
epoch 190, train 0.4421|0.8798, val 3.0175|0.7319, fs 1: 0.4088 5: 0.5674, 2.9m 5.5h/5.8h
epoch 191, train 0.4281|0.8821, val 3.0192|0.7325, 1.4m 5.5h/5.8h
epoch 192, train 0.4389|0.8790, val 3.0400|0.7323, 1.4m 5.5h/5.8h
epoch 193, train 0.4255|0.8828, val 3.0305|0.7331, 1.4m 5.6h/5.8h
epoch 194, train 0.4311|0.8827, val 3.0257|0.7326, 1.4m 5.6h/5.8h
epoch 195, train 0.4302|0.8805, val 3.0107|0.7333, fs 1: 0.4062 5: 0.5646, 2.9m 5.6h/5.8h
epoch 196, train 0.4276|0.8824, val 3.0054|0.7332, 1.4m 5.7h/5.8h
epoch 197, train 0.4331|0.8796, val 2.9799|0.7335, 1.4m 5.7h/5.8h
epoch 198, train 0.4318|0.8830, val 2.9784|0.7337, 1.4m 5.7h/5.8h
epoch 199, train 0.4306|0.8804, val 2.9964|0.7336, 1.4m 5.7h/5.8h
epoch 200, train 0.4292|0.8837, val 2.9879|0.7339, fs 1: 0.4049 5: 0.5625, 2.9m 5.8h/5.8h
